track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams,tempo,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,popular,loudness,playlist_genre,track_id,duration_ms,released_date
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,115364561,99,C♯/D♭,1,0.85,0.83,0.68,0.07,0,0.36,0.2,1,,,,,6/2/23
SABOR FRESA,Fuerza Regida,1,2023,6,22,78300654,130,G,0,0.79,0.96,0.86,0.09,0,0.09,0.09,1,,,,,6/22/23
Calm Down (with Selena Gomez),"RÔøΩÔøΩma, Selena G",2,2022,3,25,899183384,107,B,1,0.8,0.82,0.8,0.43,0,0.14,0.04,1,,,,,3/25/22
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,61245289,122,F♯/G♭,0,0.81,0.74,0.71,0.14,0,0.56,0.04,1,,,,,6/29/23
Last Night,Morgan Wallen,1,2023,1,31,429829812,204,F♯/G♭,1,0.52,0.52,0.68,0.46,0,0.15,0.04,1,,,,,1/31/23
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,127408954,110,B,0,0.67,0.78,0.85,0.02,0,0.33,0.05,1,,,,,5/25/23
Rush,Troye Sivan,1,2023,7,13,22581161,126,F,0,0.74,0.35,0.84,0,0,0.11,0.06,1,,,,,7/13/23
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,52294266,168,F♯/G♭,1,0.56,0.63,0.87,0.39,0,0.11,0.05,1,,,,,6/28/23
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,843957510,98,C♯/D♭,0,0.71,0.17,0.61,0.36,0,0.08,0.05,1,,,,,12/2/22
Anti-Hero,Taylor Swift,1,2022,10,21,999748277,97,E,1,0.64,0.51,0.63,0.12,0,0.19,0.05,1,,,,,10/21/22
TQG,"Karol G, Shakira",2,2023,2,23,618990393,180,E,0,0.72,0.61,0.63,0.67,0,0.09,0.28,1,,,,,2/23/23
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,123122413,120,,1,0.81,0.63,0.68,0.11,0,0.11,0.04,1,,,,,6/1/23
FrÔøΩÔøΩgil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,188933502,150,F♯/G♭,1,0.61,0.39,0.73,0.37,0,0.11,0.03,1,,,,,4/7/23
TQM,Fuerza Regida,1,2023,5,19,176553476,125,F,0,0.79,0.96,0.85,0.27,0,0.11,0.06,1,,,,,5/19/23
El Azul,"Junior H, Peso Pluma",2,2023,2,10,354495408,144,A,0,0.56,0.84,0.65,0.23,0,0.1,0.06,1,,,,,2/10/23
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,1109433169,128,G,0,0.56,0.38,0.97,0.04,0,0.35,0.04,1,,,,,8/26/22
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,65156199,144,,1,0.77,0.75,0.58,0.52,0,0.23,0.25,1,,,,,6/23/23
Angels Like You,Miley Cyrus,1,2020,11,27,570515054,122,F,1,0.67,0.49,0.64,0.1,0,0.1,0.03,1,,,,,11/27/20
I Ain't Worried,OneRepublic,1,2022,5,13,1085685420,140,,1,0.71,0.82,0.81,0.11,0,0.06,0.05,1,,,,,5/13/22
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,518745108,67,C♯/D♭,0,0.53,0.5,0.53,0.23,0,0.44,0.07,1,,,,,2/24/23
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,107753850,106,A♯/B♭,0,0.72,0.17,0.64,0.07,0,0.1,0.05,1,,,,,6/2/23
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,177740666,128,G,1,0.6,0.23,0.91,0,0,0.12,0.03,1,,,,,4/6/23
AMARGURA,Karol G,1,2023,2,24,153372011,107,F♯/G♭,0,0.92,0.55,0.7,0.18,0,0.15,0.07,1,,,,,2/24/23
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,57876440,130,G,0,0.67,0.96,0.88,0.12,0.19,0.08,0.04,1,,,,,6/15/23
Moonlight,Kali Uchis,1,2023,2,24,256483385,137,G,0,0.64,0.88,0.72,0.51,0,0.17,0.05,1,,,,,2/24/23
La Bachata,Manuel Turizo,1,2022,5,26,1214083358,125,G,0,0.84,0.85,0.68,0.58,0,0.22,0.04,1,,,,,5/26/22
S91,Karol G,1,2023,7,14,16011326,128,,0,0.86,0.42,0.72,0.59,0,0.09,0.19,1,,,,,7/14/23
